label,path
0,./GTSRB_png/00/train_00000.png
0,./GTSRB_png/00/train_00001.png
0,./GTSRB_png/00/train_00002.png
0,./GTSRB_png/00/train_00003.png
0,./GTSRB_png/00/train_00004.png
0,./GTSRB_png/00/train_00005.png
0,./GTSRB_png/00/train_00006.png
0,./GTSRB_png/00/train_00007.png
0,./GTSRB_png/00/train_00008.png
0,./GTSRB_png/00/train_00009.png
0,./GTSRB_png/00/train_00010.png
0,./GTSRB_png/00/train_00011.png
0,./GTSRB_png/00/train_00012.png
0,./GTSRB_png/00/train_00013.png
0,./GTSRB_png/00/train_00014.png
0,./GTSRB_png/00/train_00015.png
0,./GTSRB_png/00/train_00016.png
0,./GTSRB_png/00/train_00017.png
0,./GTSRB_png/00/train_00018.png
0,./GTSRB_png/00/train_00019.png
0,./GTSRB_png/00/train_00020.png
0,./GTSRB_png/00/train_00021.png
0,./GTSRB_png/00/train_00022.png
0,./GTSRB_png/00/train_00023.png
0,./GTSRB_png/00/train_00024.png
0,./GTSRB_png/00/train_00025.png
0,./GTSRB_png/00/train_00026.png
0,./GTSRB_png/00/train_00027.png
0,./GTSRB_png/00/train_00028.png
0,./GTSRB_png/00/train_00029.png
0,./GTSRB_png/00/train_00030.png
0,./GTSRB_png/00/train_00031.png
0,./GTSRB_png/00/train_00032.png
0,./GTSRB_png/00/train_00033.png
0,./GTSRB_png/00/train_00034.png
0,./GTSRB_png/00/train_00035.png
0,./GTSRB_png/00/train_00036.png
0,./GTSRB_png/00/train_00037.png
0,./GTSRB_png/00/train_00038.png
0,./GTSRB_png/00/train_00039.png
0,./GTSRB_png/00/train_00040.png
0,./GTSRB_png/00/train_00041.png
0,./GTSRB_png/00/train_00042.png
0,./GTSRB_png/00/train_00043.png
0,./GTSRB_png/00/train_00044.png
0,./GTSRB_png/00/train_00045.png
0,./GTSRB_png/00/train_00046.png
0,./GTSRB_png/00/train_00047.png
0,./GTSRB_png/00/train_00048.png
0,./GTSRB_png/00/train_00049.png
0,./GTSRB_png/00/train_00050.png
